name,id,description,level,classes
Titan Grip,acx,"Wield massive weapons easily.",16,Barbarian
World Breaker,acy,"Massive attack that damages all nearby.",20,Barbarian

Power Chord,acz,"Deal damage and buff allies.",12,Bard
Platinum Record,ada,"Achieve legendary performance buffs.",14,Bard
Sonic Boom,adb,"Release a damaging sound wave.",16,Bard
Legendary Performance,adc,"Massively boost all allies.",20,Bard

Parry This,add,"Counter incoming attacks.",12,Fighter
Panic Attack,ade,"Boost speed but reduce control.",14,Fighter
Unbreakable,adf,"Greatly reduce incoming damage.",16,Fighter
War God,adg,"Temporarily become nearly unstoppable.",20,Fighter

Holy Uno Reverse,adh,"Reflect damage back to attacker.",12,Cleric
Divine Intervention,adi,"Call upon divine aid.",15,Cleric
Mass Heal,adj,"Heal all allies significantly.",17,Cleric
Ascension,adk,"Transform into a divine being briefly.",20,Cleric
